ID,headline,order,recalled,accuracy,Weightvar,accuracy_bool,recalled_bool,is_fake,classifying,DP_INCOME,DP_GENAGE,DP_EDUCATION_BAN,DP_USHHI2_der,EMP01_der,USRACE4_der,USRETH3_der,HCAL_REGION1_Label_abbreviation_US,HCAL_STDREGION_US,USHHI2,resp_gender,resp_age,DWD1,DWD4,DWD5,DWD6,GRID_DWD9_1_DWD9,GRID_DWD9_2_DWD9,GRID_DWD9_3_DWD9,GRID_DWD9_4_DWD9,GRID_DWD9_5_DWD9,GRID_DWD9_6_DWD9,GRID_DWD11_1_DWD11,GRID_DWD11_2_DWD11,GRID_DWD11_3_DWD11,GRID_DWD11_4_DWD11,GRID_DWD11_5_DWD11,GRID_DWD11_6_DWD11,GRID_DWD11_7_DWD11,GRID_DWD11_8_DWD11,GRID_DWD11_9_DWD11,GRID_DWD11_10_DWD11,GRID_DWD11_11_DWD11,GRID_DWD11_12_DWD11,GRID_DWD11_13_DWD11,GRID_DWD11_14_DWD11,GRID_DWD11_15_DWD11
1146768496,A,3,yes,not at all accurate,0.585416826972958,False,True,True,2,3,4,6,7,1,1,2,31,2,12,2,31,1,0,4,1,2,1,1,8,3,7,4,1,1,4,4,4,4,1,3,2,1,2,4,4,4
1146768496,E,1,yes,very accurate,0.585416826972958,True,True,True,1,3,4,6,7,1,1,2,31,2,12,2,31,1,0,4,1,2,1,1,8,3,7,4,1,1,4,4,4,4,1,3,2,1,2,4,4,4
1146768496,G,2,yes,very accurate,0.585416826972958,True,True,False,4,3,4,6,7,1,1,2,31,2,12,2,31,1,0,4,1,2,1,1,8,3,7,4,1,1,4,4,4,4,1,3,2,1,2,4,4,4
1146768496,I,5,yes,not very accurate,0.585416826972958,False,True,False,3,3,4,6,7,1,1,2,31,2,12,2,31,1,0,4,1,2,1,1,8,3,7,4,1,1,4,4,4,4,1,3,2,1,2,4,4,4
1143062614,A,1,yes,somewhat accurate,1.27397936196328,True,True,True,1,5,1,7,9,2,1,2,33,2,19,1,34,2,0,4,2,1,1,3,2,4,2,2,2,1,1,2,1,3,1,2,3,2,1,1,1,1
1143062614,E,2,yes,somewhat accurate,1.27397936196328,True,True,True,1,5,1,7,9,2,1,2,33,2,19,1,34,2,0,4,2,1,1,3,2,4,2,2,2,1,1,2,1,3,1,2,3,2,1,1,1,1
1143062614,I,3,yes,somewhat accurate,1.27397936196328,True,True,False,4,5,1,7,9,2,1,2,33,2,19,1,34,2,0,4,2,1,1,3,2,4,2,2,2,1,1,2,1,3,1,2,3,2,1,1,1,1
1143062614,J,6,yes,somewhat accurate,1.27397936196328,True,True,False,4,5,1,7,9,2,1,2,33,2,19,1,34,2,0,4,2,1,1,3,2,4,2,2,2,1,1,2,1,3,1,2,3,2,1,1,1,1
C1439717771,K,4,yes,not very accurate,1.51435277630845,False,True,False,3,1,2,6,1,3,3,2,5,9,1,1,47,3,1,4,1,6,4,8,8,3,1,4,3,3,3,2,4,5,4,5,5,3,2,2,4,4
1147306114,B,4,yes,somewhat accurate,0.600294675625689,True,True,True,1,4,5,5,8,8,1,2,11,5,16,2,43,2,0,4,2,1,8,8,8,8,7,4,3,4,4,4,4,5,2,3,5,5,4,4,4,2
1147306114,I,1,yes,somewhat accurate,0.600294675625689,True,True,False,4,4,5,5,8,8,1,2,11,5,16,2,43,2,0,4,2,1,8,8,8,8,7,4,3,4,4,4,4,5,2,3,5,5,4,4,4,2
1141404252,A,1,yes,not at all accurate,0.762636662671286,False,True,True,2,3,6,4,7,4,1,2,34,5,11,2,59,2,0,4,2,1,8,7,3,1,3,3,4,4,1,2,4,4,1,4,4,4,3,3,4,3
